ref,matchup,away_team,home_team,away_name,home_name,goals_gm,crew_goals_gm,status,tbd,tbd_reason
Furman South,CBJ@TOR,CBJ,TOR,Columbus Blue Jackets,Toronto Maple Leafs,5.4,5.6,,False,
Peter MacDougall,CBJ@TOR,CBJ,TOR,Columbus Blue Jackets,Toronto Maple Leafs,5.8,5.6,,False,
Corey Syvret,WSH@MTL,WSH,MTL,Washington Capitals,Montreal Canadiens,5.8,5.95,,False,
Jake Brenk,WSH@MTL,WSH,MTL,Washington Capitals,Montreal Canadiens,6.1,5.95,,False,
Mitch Dunning,NYI@DET,NYI,DET,New York Islanders,Detroit Red Wings,6.1,5.9,,False,
Garrett Rank,NYI@DET,NYI,DET,New York Islanders,Detroit Red Wings,5.7,5.9,,False,
TJ Luxmore,NJD@FLA,NJD,FLA,New Jersey Devils,Florida Panthers,5.9,6.05,,False,
Tom Chmielewski,NJD@FLA,NJD,FLA,New Jersey Devils,Florida Panthers,6.2,6.05,,False,
Jon Mclsaac,STL@PHI,STL,PHI,St. Louis Blues,Philadelphia Flyers,6.3,6.3,,False,
Michael Sullivan,STL@PHI,STL,PHI,St. Louis Blues,Philadelphia Flyers,6.3,6.3,,False,
Jordan Samuels-Thomas,EDM@TBL,EDM,TBL,Edmonton Oilers,Tampa Bay Lightning,6.8,6.35,,False,
Kelly Sutherland,EDM@TBL,EDM,TBL,Edmonton Oilers,Tampa Bay Lightning,5.9,6.35,,False,
Justin Kea,SEA@CHI,SEA,CHI,Seattle Kraken,Chicago Blackhawks,5.9,5.95,,False,
Jean Hebert,SEA@CHI,SEA,CHI,Seattle Kraken,Chicago Blackhawks,6.0,5.95,,False,
Gord Dwyer,NYR@COL,NYR,COL,New York Rangers,Colorado Avalanche,5.9,5.95,,False,
Michael Markovic,NYR@COL,NYR,COL,New York Rangers,Colorado Avalanche,6.0,5.95,,False,
Eric Furlatt,VGK@UTA,VGK,UTA,Vegas Golden Knights,Utah Mammoth,5.7,2.85,,False,
Liam Maaskant,VGK@UTA,VGK,UTA,Vegas Golden Knights,Utah Mammoth,0.0,2.85,,False,
Chris Schlenker,DAL@VAN,DAL,VAN,Dallas Stars,Vancouver Canucks,6.2,6.25,,False,
Morgan MacPhee,DAL@VAN,DAL,VAN,Dallas Stars,Vancouver Canucks,6.3,6.25,,False,
Trevor Hanson,OTT@ANA,OTT,ANA,Ottawa Senators,Anaheim Ducks,5.8,6.2,,False,
Graedy Hamilton,OTT@ANA,OTT,ANA,Ottawa Senators,Anaheim Ducks,6.6,6.2,,False,
Alex Lepkowski,LAK@SJS,LAK,SJS,Los Angeles Kings,San Jose Sharks,0.0,3.05,,False,
Francis Charron,LAK@SJS,LAK,SJS,Los Angeles Kings,San Jose Sharks,6.1,3.05,,False,
